"filename", "language", "Ruby", "erb", "comment", "blank", "total"
"/home/dell/local/video_music_app/app/uploaders/video_uploader.rb", "Ruby", 6, 0, 34, 8, 48
"/home/dell/local/video_music_app/app/views/categories/index.jbuilder", "Ruby", 5, 0, 0, 1, 6
"/home/dell/local/video_music_app/app/views/comments/create.jbuilder", "Ruby", 19, 0, 0, 0, 19
"/home/dell/local/video_music_app/app/views/comments/show_comments.jbuilder", "Ruby", 31, 0, 0, 2, 33
"/home/dell/local/video_music_app/app/views/comments/show_comments_for_singer.jbuilder", "Ruby", 11, 0, 0, 1, 12
"/home/dell/local/video_music_app/app/views/feelings/get_liked_videos.jbuilder", "Ruby", 14, 0, 0, 1, 15
"/home/dell/local/video_music_app/app/views/hash_tags/index.jbuilder", "Ruby", 4, 0, 0, 1, 5
"/home/dell/local/video_music_app/app/views/histories/index.jbuilder", "Ruby", 21, 0, 0, 1, 22
"/home/dell/local/video_music_app/app/views/histories/search_history.jbuilder", "Ruby", 4, 0, 0, 1, 5
"/home/dell/local/video_music_app/app/views/layouts/mailer.html.erb", "erb", 0, 12, 0, 2, 14
"/home/dell/local/video_music_app/app/views/layouts/mailer.text.erb", "erb", 0, 1, 0, 1, 2
"/home/dell/local/video_music_app/app/views/member_notifications/show_recent_videos_notifications.jbuilder", "Ruby", 9, 0, 0, 1, 10
"/home/dell/local/video_music_app/app/views/own_playlist_videos/create.jbuilder", "Ruby", 10, 0, 0, 1, 11
"/home/dell/local/video_music_app/app/views/own_playlists/check_video.jbuilder", "Ruby", 6, 0, 0, 1, 7
"/home/dell/local/video_music_app/app/views/own_playlists/index.jbuilder", "Ruby", 6, 0, 0, 1, 7
"/home/dell/local/video_music_app/app/views/own_playlists/show.jbuilder", "Ruby", 17, 0, 0, 1, 18
"/home/dell/local/video_music_app/app/views/own_playlists/show_mix_playlist.jbuilder", "Ruby", 16, 0, 0, 1, 17
"/home/dell/local/video_music_app/app/views/playlist_by_topics/index.jbuilder", "Ruby", 4, 0, 0, 0, 4
"/home/dell/local/video_music_app/app/views/playlist_by_topics/show.jbuilder", "Ruby", 14, 0, 0, 1, 15
"/home/dell/local/video_music_app/app/views/playlist_by_topics/show_singer_topic_playlist.jbuilder", "Ruby", 16, 0, 0, 1, 17
"/home/dell/local/video_music_app/app/views/playlist_videos/show.jbuilder", "Ruby", 14, 0, 0, 1, 15
"/home/dell/local/video_music_app/app/views/playlist_videos/show_playlist_for_user.jbuilder", "Ruby", 16, 0, 0, 1, 17
"/home/dell/local/video_music_app/app/views/searchs/index.jbuilder", "Ruby", 23, 0, 0, 3, 26
"/home/dell/local/video_music_app/app/views/singer_notifications/show_recent_videos_notifications.jbuilder", "Ruby", 9, 0, 0, 1, 10
"/home/dell/local/video_music_app/app/views/singers/index.jbuilder", "Ruby", 8, 0, 0, 0, 8
"/home/dell/local/video_music_app/app/views/singers/sessions/create.jbuilder", "Ruby", 6, 0, 0, 0, 6
"/home/dell/local/video_music_app/app/views/singers/show.jbuilder", "Ruby", 4, 0, 0, 0, 4
"/home/dell/local/video_music_app/app/views/subscribes/show_subscribers.jbuilder", "Ruby", 6, 0, 0, 1, 7
"/home/dell/local/video_music_app/app/views/subscribes/show_subscribes_channels.jbuilder", "Ruby", 6, 0, 0, 0, 6
"/home/dell/local/video_music_app/app/views/subscribes/show_subscribes_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/users/index.jbuilder", "Ruby", 7, 0, 0, 0, 7
"/home/dell/local/video_music_app/app/views/users/sessions/create.jbuilder", "Ruby", 6, 0, 0, 1, 7
"/home/dell/local/video_music_app/app/views/videos/_videos_list.jbuilder", "Ruby", 22, 0, 1, 1, 24
"/home/dell/local/video_music_app/app/views/videos/index.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show.jbuilder", "Ruby", 23, 0, 0, 1, 24
"/home/dell/local/video_music_app/app/views/videos/show_public_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_recommend_after_watching.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_recommend_for_playlist.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_singer_public_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_singer_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_trending_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_videos_by_category.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/videos/show_watched_videos.jbuilder", "Ruby", 1, 0, 0, 1, 2
"/home/dell/local/video_music_app/app/views/watch_later_videos/index.jbuilder", "Ruby", 17, 0, 0, 1, 18
"/home/dell/local/video_music_app/app/workers/upload_video_worker.rb", "Ruby", 52, 0, 1, 8, 61
"Total", "-", 1844, 13, 137, 329, 2323
